Id,t1_m,t1_p,t1_c,t2_m,t2_p,t2_c,t3_m,t3_p,t3_c,t4_m,t4_p,t4_c,t5_m(calc),t5_p(calc),t5_c(calc)
30223,96.0,98.0,97.0,98.0,99.0,97.0,99.0,99.0,96.0,97.0,96.0,100.0,97.0,99.0,95.0
30224,,91.0,93.0,90.0,94.0,95.0,94.0,91.0,95.0,95.0,90.0,93.0,90.0,93.0,93.0
30225,88.0,89.0,89.0,85.0,89.0,85.0,90.0,89.0,90.0,88.0,87.0,88.0,85.0,85.0,89.0
30226,80.0,83.0,80.0,81.0,84.0,83.0,84.0,82.0,82.0,81.0,80.0,83.0,51.0,79.0,67.0
30227,75.0,79.0,75.0,79.0,78.0,79.0,75.0,78.0,77.0,,75.0,77.0,77.0,75.0,80.0
30228,73.0,74.0,70.0,72.0,72.0,71.0,71.0,75.0,73.0,70.0,74.0,73.0,75.0,70.0,75.0
30229,70.0,70.0,66.0,67.0,67.0,65.0,68.0,69.0,69.0,67.0,66.0,70.0,69.0,67.0,67.0
30230,63.0,61.0,62.0,60.0,61.0,64.0,61.0,60.0,,62.0,65.0,62.0,62.0,63.0,62.0
30231,57.0,60.0,59.0,59.0,60.0,60.0,56.0,56.0,59.0,60.0,55.0,56.0,59.0,58.0,55.0
30232,50.0,51.0,52.0,53.0,54.0,54.0,55.0,54.0,54.0,54.0,52.0,52.0,50.0,50.0,55.0
30233,45.0,49.0,49.0,47.0,47.0,49.0,50.0,47.0,48.0,49.0,48.0,48.0,47.0,47.0,46.0
30234,41.0,44.0,44.0,44.0,41.0,43.0,40.0,40.0,41.0,41.0,43.0,44.0,40.0,42.0,42.0
30235,37.0,38.0,35.0,38.0,38.0,39.0,39.0,35.0,36.0,35.0,40.0,37.0,38.0,39.0,37.0
30236,30.0,30.0,34.0,34.0,31.0,35.0,33.0,30.0,31.0,35.0,32.0,34.0,34.0,35.0,
30237,29.0,28.0,27.0,29.0,25.0,27.0,30.0,27.0,30.0,29.0,27.0,26.0,,28.0,29.0
30238,20.0,14.0,18.0,11.0,24.0,24.0,12.0,16.0,20.0,19.0,17.0,20.0,24.0,16.0,22.0
30239,10.0,1.0,3.0,5.0,5.0,3.0,5.0,8.0,4.0,3.0,10.0,6.0,4.0,0.0,2.0
30240,120.0,115.0,110.0,114.0,119.0,117.0,118.0,114.0,118.0,117.0,120.0,114.0,114.0,,116.0
30241,109.0,106.0,108.0,107.0,107.0,108.0,105.0,105.0,106.0,109.0,109.0,110.0,106.0,105.0,106.0
30242,104.0,105.0,102.0,100.0,104.0,105.0,102.0,103.0,100.0,104.0,103.0,103.0,103.0,101.0,102.0
30243,96.0,98.0,96.0,99.0,98.0,100.0,96.0,95.0,96.0,98.0,98.0,100.0,100.0,95.0,96.0
30244,94.0,92.0,95.0,93.0,92.0,92.0,94.0,92.0,92.0,95.0,91.0,92.0,92.0,95.0,92.0
30245,85.0,88.0,86.0,90.0,87.0,86.0,88.0,89.0,87.0,90.0,89.0,87.0,85.0,90.0,85.0
30246,82.0,84.0,80.0,,83.0,83.0,82.0,81.0,81.0,84.0,84.0,83.0,65.0,62.0,72.0
30247,78.0,79.0,75.0,75.0,75.0,80.0,78.0,79.0,78.0,79.0,77.0,78.0,78.0,80.0,79.0
30248,73.0,74.0,75.0,72.0,70.0,73.0,70.0,70.0,74.0,70.0,72.0,72.0,74.0,70.0,74.0
30249,65.0,69.0,68.0,66.0,70.0,66.0,68.0,69.0,65.0,66.0,69.0,65.0,67.0,68.0,68.0
30250,63.0,64.0,60.0,63.0,64.0,60.0,63.0,63.0,61.0,60.0,64.0,65.0,61.0,60.0,63.0
30251,60.0,55.0,59.0,56.0,58.0,55.0,59.0,60.0,56.0,55.0,60.0,60.0,57.0,58.0,57.0
30252,51.0,53.0,53.0,50.0,52.0,52.0,54.0,51.0,53.0,51.0,52.0,50.0,55.0,53.0,53.0
30253,48.0,48.0,46.0,48.0,49.0,49.0,48.0,48.0,47.0,45.0,48.0,45.0,48.0,46.0,50.0
30254,,45.0,40.0,45.0,45.0,41.0,42.0,43.0,45.0,41.0,42.0,43.0,42.0,43.0,40.0
30255,36.0,39.0,40.0,40.0,35.0,37.0,36.0,39.0,38.0,39.0,40.0,39.0,35.0,38.0,39.0
30256,31.0,34.0,35.0,32.0,32.0,33.0,30.0,32.0,35.0,32.0,35.0,35.0,35.0,33.0,33.0
30257,27.0,27.0,25.0,28.0,29.0,26.0,29.0,27.0,29.0,28.0,27.0,27.0,30.0,28.0,30.0
30258,23.0,14.0,17.0,15.0,16.0,12.0,21.0,23.0,12.0,14.0,19.0,25.0,25.0,17.0,24.0
30259,9.0,,0.0,8.0,7.0,6.0,8.0,5.0,10.0,4.0,2.0,3.0,4.0,4.0,4.0
30260,118.0,112.0,120.0,115.0,110.0,115.0,117.0,112.0,120.0,110.0,114.0,117.0,114.0,113.0,116.0
30261,110.0,105.0,108.0,109.0,106.0,109.0,105.0,110.0,109.0,107.0,106.0,106.0,105.0,106.0,106.0
30262,102.0,103.0,102.0,101.0,104.0,105.0,101.0,101.0,100.0,101.0,104.0,100.0,100.0,103.0,103.0
30263,95.0,99.0,100.0,98.0,95.0,99.0,98.0,98.0,97.0,97.0,96.0,95.0,99.0,99.0,99.0
30264,90.0,94.0,93.0,91.0,92.0,91.0,94.0,90.0,90.0,90.0,92.0,93.0,,95.0,94.0
30265,87.0,90.0,89.0,85.0,88.0,89.0,87.0,88.0,85.0,86.0,90.0,90.0,90.0,86.0,88.0
30266,83.0,84.0,83.0,84.0,80.0,80.0,83.0,84.0,80.0,80.0,82.0,85.0,56.0,62.0,63.0
30267,80.0,76.0,76.0,78.0,75.0,78.0,80.0,77.0,77.0,80.0,80.0,75.0,77.0,79.0,80.0
30268,73.0,70.0,74.0,71.0,74.0,74.0,73.0,71.0,70.0,72.0,72.0,70.0,72.0,71.0,71.0
30269,65.0,69.0,66.0,68.0,70.0,65.0,69.0,65.0,68.0,69.0,69.0,67.0,69.0,66.0,66.0
30270,63.0,61.0,64.0,60.0,64.0,61.0,65.0,61.0,63.0,64.0,62.0,,61.0,63.0,64.0
30271,55.0,56.0,59.0,60.0,59.0,56.0,56.0,58.0,56.0,59.0,59.0,60.0,58.0,60.0,59.0
30272,52.0,50.0,53.0,50.0,54.0,55.0,52.0,53.0,55.0,55.0,52.0,50.0,55.0,55.0,55.0
30273,49.0,49.0,47.0,45.0,45.0,46.0,47.0,46.0,49.0,48.0,45.0,47.0,46.0,48.0,46.0
30274,45.0,45.0,43.0,43.0,45.0,42.0,43.0,45.0,44.0,42.0,45.0,45.0,45.0,42.0,43.0
30275,38.0,39.0,40.0,40.0,37.0,36.0,37.0,38.0,39.0,40.0,36.0,37.0,40.0,40.0,38.0
30276,35.0,31.0,31.0,31.0,33.0,32.0,30.0,35.0,30.0,32.0,30.0,31.0,32.0,31.0,34.0
30277,27.0,28.0,30.0,29.0,25.0,26.0,30.0,25.0,26.0,25.0,27.0,27.0,25.0,25.0,26.0
30278,15.0,17.0,20.0,23.0,15.0,19.0,22.0,12.0,18.0,17.0,12.0,17.0,15.0,22.0,21.0
30279,3.0,1.0,5.0,3.0,4.0,8.0,8.0,0.0,6.0,3.0,0.0,9.0,3.0,4.0,8.0
30280,120.0,114.0,119.0,114.0,110.0,115.0,120.0,113.0,112.0,112.0,113.0,114.0,110.0,119.0,114.0
30281,107.0,107.0,109.0,109.0,105.0,110.0,108.0,110.0,108.0,109.0,105.0,110.0,108.0,107.0,105.0
30282,103.0,103.0,105.0,101.0,101.0,101.0,104.0,104.0,103.0,101.0,102.0,103.0,105.0,103.0,105.0
30283,95.0,98.0,97.0,97.0,98.0,98.0,95.0,96.0,97.0,99.0,96.0,97.0,98.0,99.0,95.0
30284,95.0,93.0,90.0,92.0,90.0,91.0,95.0,94.0,90.0,92.0,94.0,95.0,93.0,93.0,90.0
30285,86.0,86.0,85.0,85.0,90.0,85.0,89.0,87.0,87.0,87.0,89.0,88.0,87.0,90.0,90.0
30286,84.0,82.0,82.0,85.0,85.0,85.0,84.0,80.0,84.0,85.0,85.0,81.0,59.0,67.0,59.0
30287,77.0,79.0,79.0,76.0,75.0,79.0,75.0,80.0,75.0,75.0,76.0,77.0,80.0,76.0,79.0
30288,70.0,72.0,73.0,74.0,74.0,70.0,74.0,72.0,73.0,73.0,75.0,74.0,75.0,71.0,74.0
30289,70.0,68.0,66.0,65.0,69.0,65.0,68.0,69.0,70.0,70.0,70.0,66.0,70.0,65.0,70.0
30290,64.0,63.0,64.0,61.0,65.0,64.0,62.0,63.0,61.0,62.0,61.0,64.0,61.0,64.0,65.0
30291,60.0,60.0,56.0,55.0,58.0,59.0,57.0,55.0,,55.0,58.0,57.0,58.0,57.0,59.0
30292,52.0,50.0,54.0,51.0,53.0,51.0,51.0,53.0,52.0,50.0,51.0,51.0,52.0,50.0,51.0
30293,47.0,49.0,48.0,48.0,45.0,49.0,49.0,46.0,50.0,49.0,47.0,48.0,49.0,47.0,45.0
30294,42.0,43.0,44.0,40.0,45.0,43.0,42.0,41.0,45.0,44.0,42.0,45.0,41.0,45.0,40.0
30295,40.0,40.0,38.0,35.0,35.0,37.0,37.0,38.0,38.0,37.0,37.0,37.0,36.0,36.0,35.0
30296,33.0,35.0,30.0,34.0,34.0,34.0,35.0,31.0,32.0,32.0,30.0,34.0,31.0,33.0,35.0
30297,28.0,28.0,30.0,30.0,25.0,27.0,25.0,28.0,28.0,29.0,27.0,28.0,29.0,29.0,26.0
30298,16.0,17.0,15.0,10.0,20.0,23.0,19.0,11.0,23.0,21.0,12.0,19.0,25.0,20.0,18.0
30299,0.0,5.0,9.0,2.0,4.0,8.0,7.0,5.0,3.0,5.0,0.0,0.0,0.0,8.0,7.0
30300,111.0,117.0,117.0,114.0,116.0,113.0,112.0,119.0,116.0,115.0,120.0,112.0,112.0,116.0,111.0
30301,107.0,107.0,110.0,106.0,109.0,108.0,109.0,107.0,110.0,107.0,107.0,106.0,,107.0,109.0
30302,100.0,100.0,101.0,102.0,100.0,105.0,105.0,103.0,102.0,104.0,104.0,102.0,104.0,105.0,102.0
30303,99.0,99.0,97.0,100.0,95.0,100.0,98.0,97.0,96.0,100.0,98.0,97.0,97.0,99.0,100.0
30304,91.0,90.0,90.0,95.0,94.0,94.0,94.0,92.0,90.0,93.0,92.0,90.0,93.0,90.0,93.0
30305,88.0,87.0,88.0,89.0,87.0,87.0,88.0,86.0,90.0,85.0,85.0,85.0,90.0,87.0,88.0
30306,85.0,85.0,83.0,84.0,83.0,82.0,81.0,85.0,83.0,84.0,85.0,84.0,61.0,83.0,70.0
30307,78.0,76.0,76.0,78.0,80.0,77.0,79.0,80.0,78.0,75.0,77.0,76.0,80.0,80.0,76.0
30308,73.0,70.0,70.0,72.0,74.0,74.0,74.0,74.0,70.0,72.0,71.0,73.0,72.0,75.0,73.0
30309,68.0,69.0,67.0,66.0,70.0,66.0,69.0,67.0,68.0,66.0,65.0,66.0,66.0,66.0,67.0
30310,65.0,64.0,61.0,65.0,62.0,61.0,63.0,63.0,61.0,64.0,63.0,63.0,63.0,60.0,61.0
30311,57.0,57.0,58.0,56.0,58.0,57.0,57.0,59.0,57.0,59.0,57.0,58.0,58.0,59.0,59.0
30312,53.0,54.0,52.0,55.0,55.0,55.0,52.0,50.0,52.0,50.0,54.0,51.0,50.0,50.0,55.0
30313,46.0,45.0,47.0,47.0,47.0,45.0,48.0,46.0,46.0,48.0,47.0,50.0,47.0,45.0,48.0
30314,44.0,42.0,43.0,44.0,40.0,40.0,44.0,41.0,41.0,45.0,42.0,40.0,40.0,43.0,42.0
30315,40.0,40.0,38.0,36.0,38.0,35.0,37.0,40.0,35.0,38.0,38.0,37.0,35.0,35.0,37.0
30316,34.0,35.0,30.0,32.0,35.0,34.0,30.0,31.0,34.0,32.0,30.0,33.0,31.0,33.0,33.0
30317,26.0,25.0,25.0,28.0,29.0,25.0,29.0,30.0,30.0,25.0,30.0,26.0,28.0,25.0,26.0
30318,23.0,20.0,22.0,13.0,23.0,19.0,13.0,24.0,20.0,24.0,21.0,13.0,17.0,13.0,23.0
30319,3.0,7.0,2.0,8.0,8.0,5.0,9.0,9.0,5.0,2.0,5.0,4.0,6.0,3.0,7.0
30320,117.0,116.0,113.0,117.0,112.0,117.0,117.0,120.0,110.0,111.0,117.0,115.0,115.0,112.0,111.0
30321,106.0,109.0,110.0,109.0,107.0,110.0,106.0,105.0,106.0,107.0,110.0,,108.0,109.0,106.0
30322,103.0,101.0,101.0,100.0,100.0,105.0,103.0,104.0,101.0,104.0,102.0,103.0,100.0,101.0,103.0
30323,97.0,100.0,99.0,98.0,97.0,95.0,95.0,97.0,95.0,98.0,96.0,100.0,95.0,99.0,97.0
30324,95.0,95.0,94.0,93.0,91.0,93.0,94.0,92.0,90.0,91.0,94.0,94.0,90.0,94.0,90.0
30325,88.0,89.0,86.0,90.0,89.0,86.0,85.0,87.0,85.0,90.0,86.0,89.0,88.0,89.0,85.0
30326,81.0,81.0,84.0,83.0,83.0,83.0,83.0,85.0,82.0,80.0,80.0,85.0,74.0,81.0,61.0
30327,80.0,75.0,75.0,75.0,79.0,75.0,75.0,76.0,79.0,80.0,79.0,76.0,75.0,77.0,80.0
30328,72.0,70.0,72.0,72.0,70.0,73.0,72.0,72.0,70.0,70.0,75.0,75.0,75.0,71.0,70.0
30329,65.0,66.0,70.0,66.0,65.0,66.0,66.0,67.0,68.0,67.0,65.0,70.0,70.0,65.0,68.0
30330,62.0,65.0,61.0,63.0,62.0,64.0,62.0,60.0,62.0,61.0,62.0,,60.0,64.0,63.0
30331,55.0,56.0,58.0,57.0,57.0,57.0,55.0,57.0,59.0,58.0,60.0,55.0,55.0,58.0,56.0
30332,51.0,53.0,54.0,55.0,53.0,53.0,52.0,53.0,50.0,54.0,51.0,53.0,50.0,53.0,52.0
30333,49.0,50.0,48.0,45.0,50.0,48.0,46.0,50.0,45.0,47.0,47.0,45.0,47.0,46.0,49.0
30334,42.0,45.0,45.0,42.0,42.0,45.0,40.0,45.0,45.0,42.0,42.0,40.0,43.0,40.0,44.0
30335,39.0,37.0,35.0,40.0,35.0,39.0,39.0,37.0,40.0,40.0,35.0,37.0,39.0,35.0,38.0
30336,35.0,35.0,33.0,34.0,34.0,35.0,31.0,33.0,32.0,31.0,33.0,32.0,35.0,33.0,31.0
30337,27.0,27.0,30.0,26.0,27.0,30.0,26.0,25.0,26.0,28.0,30.0,28.0,27.0,25.0,30.0
30338,11.0,13.0,19.0,19.0,20.0,24.0,16.0,20.0,16.0,17.0,17.0,14.0,11.0,18.0,23.0
30339,8.0,3.0,9.0,2.0,1.0,4.0,6.0,4.0,1.0,4.0,5.0,2.0,9.0,0.0,8.0
30340,114.0,111.0,112.0,112.0,120.0,118.0,113.0,111.0,117.0,112.0,113.0,113.0,117.0,120.0,113.0
30341,108.0,105.0,110.0,108.0,110.0,108.0,109.0,108.0,105.0,106.0,108.0,109.0,110.0,108.0,110.0
30342,105.0,100.0,100.0,104.0,101.0,101.0,104.0,104.0,103.0,100.0,101.0,100.0,105.0,103.0,103.0
30343,98.0,98.0,96.0,96.0,99.0,97.0,95.0,96.0,98.0,96.0,95.0,96.0,95.0,100.0,97.0
30344,92.0,93.0,95.0,92.0,92.0,91.0,95.0,92.0,90.0,95.0,94.0,94.0,92.0,94.0,92.0
30345,90.0,90.0,87.0,89.0,88.0,87.0,90.0,87.0,85.0,90.0,86.0,90.0,85.0,86.0,90.0
30346,82.0,83.0,84.0,80.0,80.0,82.0,82.0,85.0,80.0,80.0,80.0,82.0,59.0,64.0,66.0
30347,78.0,76.0,76.0,75.0,80.0,79.0,80.0,78.0,79.0,77.0,77.0,76.0,78.0,76.0,79.0
30348,70.0,70.0,74.0,70.0,70.0,73.0,72.0,71.0,74.0,74.0,70.0,70.0,73.0,71.0,73.0
30349,69.0,67.0,70.0,67.0,65.0,66.0,66.0,68.0,67.0,66.0,69.0,69.0,66.0,65.0,67.0
30350,61.0,64.0,65.0,61.0,62.0,60.0,61.0,61.0,65.0,61.0,65.0,60.0,60.0,62.0,65.0
30351,55.0,59.0,57.0,60.0,56.0,59.0,57.0,60.0,60.0,56.0,56.0,58.0,58.0,57.0,55.0
30352,50.0,54.0,51.0,54.0,52.0,50.0,51.0,55.0,53.0,50.0,54.0,52.0,54.0,53.0,51.0
30353,50.0,48.0,50.0,50.0,47.0,50.0,48.0,50.0,47.0,46.0,46.0,48.0,47.0,47.0,47.0
30354,44.0,45.0,44.0,45.0,43.0,41.0,44.0,41.0,40.0,40.0,42.0,40.0,40.0,44.0,44.0
30355,38.0,40.0,38.0,35.0,38.0,35.0,39.0,40.0,36.0,38.0,35.0,35.0,35.0,38.0,36.0
30356,33.0,35.0,33.0,30.0,32.0,32.0,32.0,33.0,35.0,35.0,34.0,30.0,35.0,33.0,33.0
30357,28.0,28.0,25.0,30.0,25.0,,26.0,29.0,25.0,30.0,28.0,30.0,26.0,27.0,30.0
30358,11.0,16.0,16.0,11.0,19.0,24.0,16.0,21.0,21.0,21.0,18.0,10.0,19.0,17.0,13.0
30359,8.0,3.0,8.0,3.0,0.0,9.0,2.0,7.0,8.0,8.0,0.0,10.0,6.0,1.0,5.0
30360,119.0,115.0,120.0,120.0,114.0,114.0,117.0,120.0,120.0,116.0,113.0,120.0,119.0,119.0,113.0
30361,108.0,108.0,105.0,109.0,109.0,109.0,106.0,106.0,109.0,110.0,110.0,105.0,109.0,108.0,105.0
30362,104.0,105.0,102.0,101.0,101.0,104.0,103.0,102.0,101.0,101.0,102.0,104.0,105.0,104.0,100.0
30363,99.0,99.0,96.0,96.0,96.0,96.0,95.0,97.0,97.0,99.0,96.0,96.0,97.0,95.0,100.0
30364,93.0,90.0,90.0,91.0,91.0,90.0,91.0,92.0,92.0,93.0,93.0,91.0,91.0,92.0,95.0
30365,86.0,90.0,89.0,90.0,86.0,87.0,85.0,89.0,90.0,90.0,89.0,85.0,85.0,90.0,87.0
30366,84.0,84.0,80.0,81.0,80.0,82.0,82.0,81.0,85.0,85.0,80.0,81.0,66.0,80.0,56.0
30367,77.0,79.0,76.0,80.0,79.0,77.0,76.0,78.0,75.0,77.0,78.0,80.0,75.0,79.0,79.0
30368,74.0,73.0,70.0,72.0,72.0,74.0,70.0,73.0,70.0,70.0,70.0,74.0,71.0,72.0,72.0
30369,69.0,66.0,67.0,70.0,66.0,66.0,66.0,68.0,66.0,69.0,65.0,66.0,70.0,66.0,65.0
30370,64.0,61.0,61.0,60.0,61.0,65.0,62.0,62.0,64.0,61.0,65.0,65.0,63.0,62.0,65.0
30371,58.0,59.0,57.0,59.0,60.0,56.0,60.0,55.0,58.0,60.0,58.0,56.0,59.0,58.0,55.0
30372,52.0,53.0,50.0,54.0,51.0,50.0,52.0,55.0,53.0,54.0,54.0,54.0,50.0,51.0,
30373,50.0,48.0,45.0,50.0,46.0,50.0,48.0,46.0,45.0,48.0,45.0,46.0,48.0,47.0,47.0
30374,44.0,41.0,43.0,43.0,44.0,45.0,41.0,41.0,42.0,45.0,44.0,43.0,41.0,42.0,40.0
30375,35.0,39.0,39.0,38.0,38.0,37.0,37.0,39.0,35.0,36.0,37.0,35.0,36.0,39.0,36.0
30376,30.0,32.0,33.0,31.0,35.0,30.0,30.0,33.0,31.0,32.0,30.0,35.0,35.0,30.0,32.0
30377,27.0,28.0,30.0,25.0,29.0,28.0,27.0,28.0,25.0,29.0,29.0,25.0,29.0,27.0,30.0
30378,10.0,17.0,17.0,18.0,24.0,15.0,14.0,,,24.0,10.0,13.0,13.0,18.0,14.0
30379,4.0,4.0,7.0,7.0,10.0,8.0,4.0,9.0,7.0,9.0,5.0,10.0,5.0,6.0,0.0
30380,,118.0,118.0,115.0,118.0,118.0,113.0,118.0,113.0,111.0,115.0,111.0,114.0,117.0,120.0
30381,106.0,109.0,110.0,107.0,109.0,105.0,106.0,110.0,108.0,105.0,109.0,110.0,106.0,110.0,106.0
30382,100.0,100.0,101.0,102.0,102.0,104.0,104.0,104.0,104.0,101.0,102.0,100.0,101.0,101.0,101.0
30383,95.0,100.0,98.0,99.0,100.0,97.0,98.0,95.0,96.0,100.0,97.0,97.0,99.0,99.0,98.0
30384,92.0,93.0,90.0,92.0,92.0,90.0,93.0,93.0,90.0,93.0,95.0,93.0,94.0,94.0,93.0
30385,87.0,86.0,89.0,88.0,87.0,86.0,90.0,85.0,88.0,86.0,90.0,89.0,90.0,85.0,88.0
30386,85.0,85.0,80.0,85.0,81.0,80.0,83.0,85.0,83.0,83.0,80.0,82.0,52.0,83.0,50.0
30387,75.0,79.0,80.0,77.0,75.0,76.0,80.0,75.0,77.0,75.0,79.0,76.0,78.0,80.0,79.0
30388,72.0,72.0,75.0,71.0,71.0,73.0,74.0,70.0,74.0,70.0,75.0,71.0,72.0,72.0,74.0
30389,66.0,66.0,69.0,68.0,66.0,69.0,66.0,68.0,67.0,69.0,70.0,68.0,67.0,65.0,66.0
30390,60.0,65.0,60.0,62.0,64.0,61.0,61.0,65.0,61.0,62.0,65.0,65.0,62.0,61.0,64.0
30391,60.0,55.0,57.0,58.0,59.0,55.0,58.0,56.0,58.0,55.0,57.0,56.0,55.0,58.0,56.0
30392,53.0,51.0,55.0,55.0,53.0,54.0,50.0,53.0,53.0,51.0,50.0,52.0,51.0,52.0,51.0
30393,49.0,48.0,47.0,46.0,50.0,50.0,46.0,45.0,49.0,50.0,49.0,49.0,46.0,49.0,48.0
30394,44.0,42.0,45.0,45.0,41.0,40.0,42.0,41.0,40.0,43.0,43.0,40.0,44.0,41.0,41.0
30395,39.0,35.0,38.0,35.0,37.0,39.0,37.0,37.0,37.0,37.0,36.0,37.0,40.0,36.0,36.0
30396,34.0,32.0,34.0,34.0,32.0,30.0,35.0,,35.0,32.0,35.0,30.0,32.0,32.0,30.0
30397,28.0,26.0,26.0,26.0,25.0,30.0,30.0,30.0,27.0,29.0,27.0,28.0,29.0,25.0,30.0
30398,11.0,19.0,18.0,15.0,15.0,20.0,18.0,10.0,10.0,21.0,15.0,12.0,11.0,12.0,20.0
30399,10.0,8.0,4.0,7.0,0.0,8.0,1.0,3.0,8.0,4.0,8.0,2.0,0.0,3.0,1.0
30400,116.0,111.0,111.0,116.0,113.0,119.0,112.0,120.0,117.0,116.0,113.0,114.0,112.0,119.0,118.0
30401,105.0,108.0,107.0,106.0,106.0,110.0,109.0,109.0,108.0,109.0,108.0,110.0,108.0,107.0,105.0
30402,102.0,104.0,103.0,104.0,100.0,102.0,101.0,103.0,101.0,101.0,102.0,100.0,105.0,104.0,102.0
30403,99.0,100.0,95.0,100.0,95.0,95.0,97.0,96.0,98.0,99.0,99.0,98.0,97.0,97.0,99.0
30404,93.0,90.0,92.0,93.0,91.0,94.0,91.0,93.0,94.0,94.0,94.0,91.0,95.0,95.0,95.0
30405,87.0,87.0,88.0,89.0,89.0,85.0,85.0,86.0,86.0,87.0,88.0,86.0,87.0,87.0,90.0
30406,80.0,81.0,83.0,81.0,82.0,80.0,83.0,84.0,80.0,83.0,85.0,83.0,61.0,61.0,73.0
30407,75.0,75.0,76.0,78.0,75.0,77.0,80.0,80.0,79.0,78.0,76.0,78.0,75.0,77.0,75.0
30408,71.0,73.0,72.0,73.0,71.0,74.0,75.0,75.0,72.0,72.0,70.0,70.0,73.0,72.0,
30409,65.0,68.0,70.0,70.0,68.0,69.0,70.0,69.0,65.0,67.0,67.0,,70.0,69.0,65.0
30410,62.0,65.0,63.0,61.0,65.0,62.0,65.0,61.0,60.0,60.0,62.0,60.0,60.0,61.0,65.0
30411,60.0,55.0,56.0,56.0,59.0,59.0,56.0,60.0,56.0,55.0,57.0,59.0,60.0,58.0,59.0
30412,51.0,52.0,55.0,54.0,53.0,52.0,55.0,55.0,50.0,53.0,50.0,,50.0,53.0,55.0
30413,50.0,46.0,46.0,49.0,47.0,46.0,49.0,45.0,45.0,45.0,47.0,47.0,45.0,49.0,50.0
30414,42.0,45.0,40.0,45.0,45.0,42.0,42.0,44.0,45.0,43.0,45.0,44.0,43.0,42.0,41.0
30415,38.0,35.0,40.0,36.0,35.0,35.0,36.0,35.0,35.0,38.0,40.0,39.0,35.0,,37.0
30416,31.0,31.0,34.0,30.0,,30.0,31.0,34.0,30.0,32.0,32.0,34.0,,34.0,35.0
30417,30.0,26.0,28.0,29.0,30.0,29.0,28.0,29.0,26.0,30.0,27.0,30.0,25.0,29.0,25.0
30418,24.0,18.0,16.0,17.0,17.0,17.0,16.0,13.0,22.0,25.0,24.0,24.0,23.0,13.0,
30419,0.0,2.0,5.0,10.0,7.0,8.0,8.0,2.0,8.0,6.0,9.0,3.0,9.0,5.0,2.0
30420,118.0,114.0,112.0,116.0,112.0,113.0,113.0,118.0,119.0,111.0,117.0,115.0,111.0,119.0,120.0
30421,107.0,105.0,110.0,106.0,105.0,107.0,109.0,106.0,105.0,106.0,107.0,108.0,110.0,108.0,110.0
30422,105.0,103.0,103.0,103.0,103.0,105.0,102.0,104.0,102.0,103.0,105.0,104.0,101.0,101.0,101.0
30423,98.0,99.0,98.0,98.0,100.0,96.0,98.0,98.0,100.0,99.0,97.0,100.0,99.0,100.0,98.0
30424,92.0,92.0,90.0,92.0,93.0,95.0,90.0,93.0,90.0,94.0,92.0,94.0,95.0,90.0,95.0
30425,90.0,90.0,90.0,90.0,85.0,86.0,90.0,88.0,86.0,85.0,90.0,85.0,89.0,89.0,90.0
30426,85.0,80.0,82.0,82.0,84.0,85.0,82.0,80.0,81.0,80.0,80.0,80.0,58.0,73.0,81.0
30427,77.0,76.0,75.0,79.0,75.0,76.0,76.0,75.0,79.0,78.0,77.0,80.0,80.0,,76.0
30428,70.0,70.0,73.0,75.0,72.0,72.0,73.0,71.0,73.0,73.0,71.0,70.0,71.0,73.0,71.0
30429,66.0,66.0,70.0,66.0,70.0,70.0,70.0,68.0,67.0,65.0,65.0,66.0,68.0,68.0,69.0
30430,64.0,60.0,63.0,65.0,65.0,65.0,64.0,61.0,64.0,63.0,64.0,61.0,62.0,63.0,64.0
30431,60.0,56.0,57.0,57.0,55.0,55.0,57.0,60.0,60.0,59.0,58.0,58.0,56.0,57.0,58.0
30432,53.0,51.0,51.0,51.0,50.0,54.0,55.0,52.0,53.0,53.0,55.0,53.0,50.0,51.0,55.0
30433,48.0,50.0,46.0,48.0,49.0,45.0,49.0,50.0,46.0,46.0,45.0,45.0,48.0,47.0,46.0
30434,45.0,42.0,40.0,43.0,42.0,41.0,44.0,43.0,44.0,43.0,45.0,44.0,42.0,41.0,43.0
30435,36.0,38.0,38.0,35.0,38.0,40.0,39.0,38.0,38.0,39.0,37.0,39.0,37.0,36.0,40.0
30436,35.0,32.0,33.0,30.0,33.0,34.0,35.0,33.0,31.0,30.0,33.0,33.0,30.0,30.0,33.0
30437,30.0,27.0,29.0,26.0,28.0,29.0,29.0,29.0,25.0,25.0,30.0,27.0,29.0,29.0,28.0
30438,23.0,16.0,11.0,14.0,14.0,14.0,12.0,20.0,17.0,18.0,23.0,23.0,15.0,21.0,12.0
30439,0.0,4.0,3.0,9.0,10.0,5.0,6.0,9.0,9.0,2.0,1.0,7.0,8.0,5.0,7.0
30440,117.0,118.0,116.0,114.0,120.0,119.0,116.0,115.0,114.0,119.0,116.0,110.0,118.0,111.0,117.0
30441,106.0,110.0,107.0,110.0,107.0,108.0,108.0,108.0,109.0,109.0,107.0,110.0,110.0,106.0,108.0
30442,103.0,103.0,103.0,100.0,104.0,101.0,102.0,101.0,101.0,104.0,100.0,103.0,103.0,105.0,103.0
30443,97.0,96.0,97.0,96.0,99.0,96.0,99.0,97.0,95.0,95.0,97.0,99.0,100.0,96.0,95.0
30444,94.0,91.0,93.0,94.0,92.0,95.0,90.0,90.0,91.0,93.0,91.0,91.0,94.0,91.0,94.0
